ImageNumber,ObjectNumber,FileName_Mask,FileName_try,PathName_Mask,PathName_try,Intensity_IntegratedIntensityEdge_try,Intensity_IntegratedIntensity_try,Intensity_LowerQuartileIntensity_try,Intensity_MADIntensity_try,Intensity_MassDisplacement_try,Intensity_MaxIntensityEdge_try,Intensity_MaxIntensity_try,Intensity_MeanIntensityEdge_try,Intensity_MeanIntensity_try,Intensity_MedianIntensity_try,Intensity_MinIntensityEdge_try,Intensity_MinIntensity_try,Intensity_StdIntensityEdge_try,Intensity_StdIntensity_try,Intensity_UpperQuartileIntensity_try,Location_CenterMassIntensity_X_try,Location_CenterMassIntensity_Y_try,Location_CenterMassIntensity_Z_try,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_try,Location_MaxIntensity_Y_try,Location_MaxIntensity_Z_try,Number_Object_Number
4,1313,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.024658590555191,1.024658590555191,0.3286450058221817,0.0792248547077179,0.061160664568326695,0.4152590334415436,0.4152590334415436,0.34155286351839703,0.34155286351839703,0.3839246332645416,0.2568093240261078,0.2568093240261078,0.06515594241875097,0.06515594241875097,0.4152590334415436,48.06116066456833,495.0,0.0,48.0,495.0,0,49.0,495.0,0.0,1313
4,1314,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,2.540016789454967,7.172701647039503,0.10807202383875847,0.06584267318248749,0.40094592242708327,0.29192033410072327,0.3662775754928589,0.12700083947274834,0.17077861064379768,0.1589074581861496,0.007110704202204943,0.007110704202204943,0.07166174150468749,0.09493552235934666,0.2287098467350006,291.1989180167483,494.8481224717306,0.0,291.0,494.5,0,291.0,498.0,0.0,1314
4,1315,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,14.96896319789812,55.94428936438635,0.1257496029138565,0.08642710745334625,0.757448783436096,0.7686122059822083,0.7686122059822083,0.21083046757602986,0.2220011482713744,0.20956741273403168,0.004852368962019682,0.004852368962019682,0.13753966422062092,0.13255698521006384,0.29684901237487793,480.294075335181,495.47418644406116,0.0,480.0595238095238,494.75396825396825,0,484.0,496.0,0.0,1315
4,1316,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,4.455222366144881,7.446677269181237,0.037293050438165665,0.13115891627967358,0.3493919034292108,0.689173698425293,0.689173698425293,0.19370532026716872,0.18162627485807895,0.1732356771826744,0.00013733119703829288,0.0,0.15660973487272548,0.15037538189319244,0.2662699297070503,617.3231745626963,495.2730350007913,0.0,617.609756097561,495.0731707317073,0,618.0,499.0,0.0,1316
4,1317,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,9.152224024292082,41.621484701987356,0.08265049010515213,0.05528344213962555,0.38124077913385385,0.3827725648880005,0.44954603910446167,0.13074605748988688,0.1435223610413357,0.13232624530792236,0.0,0.0,0.0811807115636179,0.08399306701087639,0.1964217573404312,996.1225407499578,489.71531681595434,0.0,996.048275862069,489.34137931034485,0,999.0,484.0,0.0,1317
4,1318,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,2.4172732047736645,4.894972146488726,0.07201495207846165,0.04621194675564766,0.09070098546878914,0.21519798040390015,0.2571755647659302,0.12086366023868322,0.12551210632022375,0.13122759014368057,0.05195697024464607,0.012649728916585445,0.045091302301514924,0.05811984204901581,0.16525139659643173,1356.7004226908707,495.19305966930114,0.0,1356.7179487179487,495.28205128205127,0,1357.0,496.0,0.0,1318
4,1319,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,12.46781101822853,48.76676578819752,0.17091630771756172,0.08019378781318665,0.6508396744963841,0.6332341432571411,0.6478523015975952,0.21131883081743272,0.26360413939566224,0.24345006793737411,0.010254062712192535,0.008178835734724998,0.09430133329129044,0.13287820838384848,0.3377508223056793,2229.871857636923,494.0732369011398,0.0,2229.2324324324322,494.1945945945946,0,2233.0,496.0,0.0,1319
4,1320,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,10.14409102126956,29.887617385480553,0.1151789128780365,0.0790722444653511,0.20477953630348963,0.5220721960067749,0.69452965259552,0.2070222657401951,0.20612149921021072,0.19022659212350845,0.04634165018796921,0.0010070954449474812,0.10395211812445015,0.12255547797826284,0.277344174683094,2332.0917850599544,493.9540201622981,0.0,2332.2965517241378,493.951724137931,0,2327.0,501.0,0.0,1320
4,1321,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,13.437796607613564,171.9732813835144,0.3970244824886322,0.249538391828537,0.07638844164339224,0.6857709884643555,1.0,0.27995409599194926,0.6797362900534166,0.750461608171463,0.07080186158418655,0.07080186158418655,0.1381945543934127,0.31089199499762055,1.0,162.5149840725786,495.7972786622589,0.0,162.5810276679842,495.75889328063244,0,159.0,491.0,0.0,1321
4,1322,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,9.6834669301752,52.76421774015762,0.11788357049226761,0.07370107620954514,0.6013047262957655,0.4941939413547516,0.6055390238761902,0.15618495048669678,0.1983617208276602,0.17985808849334717,0.002151522086933255,0.002151522086933255,0.10394339188560267,0.11307725753276308,0.2651331424713135,1451.9566543703304,493.67773446647914,0.0,1451.9248120300751,494.2781954887218,0,1453.0,484.0,0.0,1322
4,1323,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,5.6746776830405,21.609597992151976,0.13690394908189774,0.119623102247715,0.33922243099181476,0.685999870300293,0.7908293008804321,0.2026670601085893,0.26035660231508406,0.21691462397575378,0.02722209505736828,0.024933241307735443,0.14011579122373038,0.18298176564386348,0.3408331423997879,1798.7111260119002,497.45622288792083,0.0,1798.6626506024097,497.12048192771084,0,1801.0,497.0,0.0,1323
4,1324,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,4.807660015299916,12.613504311069846,0.1597009301185608,0.08751049637794495,0.16969630088249063,0.4635995924472809,0.5658503174781799,0.22893619120475792,0.24256739059749705,0.23416495323181152,0.02038605324923992,0.02038605324923992,0.133187367272305,0.13092591796280584,0.32167544960975647,2273.0588754701434,495.1374382213803,0.0,2273.2115384615386,495.21153846153845,0,2274.0,499.0,0.0,1324
4,1325,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,12.70428017899394,138.40764498338103,0.36311130970716476,0.32088199257850647,0.18584964943277968,0.5998016595840454,1.0,0.2703038335956158,0.6319983789195481,0.5989929139614105,0.04104676842689514,0.04104676842689514,0.12234178098408112,0.311348663711188,0.9844319969415665,432.09403073214304,497.043998896202,0.0,432.0319634703196,497.2191780821918,0,431.0,494.0,0.0,1325
4,1326,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,11.462836649268866,171.43897162005305,0.36782634258270264,0.30957502126693726,0.13407079378904246,0.4894636571407318,1.0,0.23393544182181358,0.6749565811813112,0.6904249787330627,0.04475471004843712,0.04475471004843712,0.09694286528202765,0.31991244304995164,1.0,1264.057261456522,497.7974709669399,0.0,1264.1614173228347,497.88188976377955,0,1266.0,497.0,0.0,1326
4,1327,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.718745701014996,53.500526405870914,0.22101929783821106,0.10705728828907013,0.5540434308479606,0.48682382702827454,0.964629590511322,0.2179686425253749,0.33861092661943615,0.31070420145988464,0.016586557030677795,0.016586557030677795,0.10805643380179934,0.1703918478191801,0.4491721838712692,2187.5513492317154,498.4820075164224,0.0,2188.0759493670885,498.30379746835445,0,2186.0,499.0,0.0,1327
